css-1jxf684 4,css-1jxf684 9,css-1jxf684 10
"Son... son... son... no matter how touching their story is, never touch your savings. Neverrrrrrr.",3.4K,120K
"Dear son,",2.4K,88K
"Dear son,",3.7K,101K
"If a bro dies during your hustling days, when you finally make it, please reach out to his mother and offer any help you can. 

There is no better way to honour his memory.",4K,93K
"Dear son,",625,37K
"She - I cheated, aren't you mad?

He - No.

She - Why?

He - Remember the game ends when the king falls, not when a pawn takes your queen.

A man doesn’t lose value because she betrayed him. 

She only removed herself from the game.

A king moves with a strategy, not emotions.",2.6K,92K
"Dear son,",17K,637K
"Bro... bro... bro... When you bounce back this time, show no mercy.",12K,432K
Nobody is more stressed than a firstborn son trying to get successful at a young age. May God give you a breakthrough in 2025.,6.3K,189K
"You're a man. Lock in, be private, accept the loneliness, and fix your life. No one is coming to save you. THIS life is 100% your responsibility. Act like it.",1.6K,66K
"Chasing no women,

Attracts a lot of women.

It's quite funny how this works, lol.",2K,85K
"Dear son,",5.1K,116K
"never appear perfect, rich, and intelligent. It brings unnecessary problems in your life.",3.2K,115K
"the older i get as a man, i completely understand why some people go off the grid and live their lives in private.",1.4K,64K
"Dear son,",1.6K,91K
"Dear son,",792,45K
"A woman with brains can turn a broke man into a millionaire, but beauty without brains can turn a millionaire into a beggar. Dear son, choose wisely.",972,59K
"Dear son, Nothing is more attractive than an extremely intelligent man with a kind heart.",1.1K,61K
"Dear son,",4.7K,154K
"Dear son,",4.9K,363K
"Brooooooo, Neverrrrr look desperate in life. Remain calm during hard times. Understand it's just your time to suffer like every great man before you. You're a man.",8.3K,216K
"Dear son;

- Eat clean
- Walk more
- Lift weights
- Sleep earlier
- Wake up at 5 AM
- Fast in the morning 
- Drink water
- Talk less
- Listen more
- Spend time alone
- Love your family
- Avoid negative thoughts.

Your life is 100% your responsibility.",3.1K,99K
"Dear son,",3.1K,99K
"If your phone doesn't ring during the darkest moments of your life, I beg you not to pick it up when you're winning.",4.3K,121K
"Dear son,",1.2K,57K
"Desires turn kings into slaves, but patience turns slaves into kings.

Happy Wednesday, son.",1.8K,55K
"To all married men, please share one piece of advice to a single man looking to marry soon?",7.6K,912K
"I don’t know who needs to hear this, but start living & enjoying your life. The world is getting crazier by the day & all you do is work, pay bills & overthink things you can’t change. Dear son, Take a trip. Treat yourself. You deserve it.",756,47K
"Dear son,",9K,211K
"As a man, there are only 2 women you will never be able to replace:

- Your mother
- Your daughter

Everyone else is replaceable.",4.4K,115K
Brooooooo.,55K,2.3M
"See everything, say nothing.",8.5K,296K
Man to man.,15K,407K
Being educated removes a certain level of jealousy that comes with illiteracy.,4.4K,142K
I'm a man.,2K,69K
